,Window,Start date,End date,Coefficient,Constant
106,60,2022-01-12,2022-03-13,2.6381325915491898,-0.04226176099333473
107,60,2022-01-19,2022-03-20,2.841284790335778,0.2237182058280129
108,60,2022-01-26,2022-03-27,2.811695706365914,0.1336332069934579
109,60,2022-02-02,2022-04-03,2.9429357326155747,0.060872448664339746
110,60,2022-02-09,2022-04-10,2.8204736259169567,0.0899394723162572
111,60,2022-02-16,2022-04-17,3.402960980046287,0.6794700353616524
112,60,2022-02-23,2022-04-24,3.462778487613879,0.851460112281322
113,60,2022-03-02,2022-05-01,3.006118973319593,0.9428714187593866
114,60,2022-03-09,2022-05-08,2.603937654246141,0.8907573155168388
115,60,2022-03-16,2022-05-15,2.5339076132197857,0.8437276223344208
116,60,2022-03-23,2022-05-22,1.8039497320111149,0.05586231714980456
117,60,2022-03-30,2022-05-29,1.2621128431508346,-0.3414860711499617
118,60,2022-04-06,2022-06-05,1.0200554497022232,-0.7200441287804596
119,60,2022-04-13,2022-06-12,0.8584659450376507,-0.5066716498496912
120,60,2022-04-20,2022-06-19,1.1002163802316423,-0.5792279021916634
121,60,2022-04-27,2022-06-26,1.2032167251117267,-0.6603575827665645
122,60,2022-05-04,2022-07-03,1.198135547439192,-0.60739920889859
123,60,2022-05-11,2022-07-10,1.3044603969799662,-0.6284833881691607
124,60,2022-05-18,2022-07-17,1.217090593656987,-0.6153207716376146
125,60,2022-05-25,2022-07-24,1.455140220930803,-0.21279479301190565
126,60,2022-06-01,2022-07-31,1.6749621084950597,0.0003063367286754296
127,60,2022-06-08,2022-08-07,1.8568791344508988,0.4101300967803208
128,60,2022-06-15,2022-08-14,1.85006650189705,0.30986603423492315
129,60,2022-06-22,2022-08-21,1.8754183066043553,0.20142269382954284
130,60,2022-06-29,2022-08-28,1.9384307065843633,0.22891233340435538
131,60,2022-07-06,2022-09-04,2.008813026771206,0.4123887741217491
132,60,2022-07-13,2022-09-11,2.028000216415597,0.5174384088107182
133,60,2022-07-20,2022-09-18,2.1893967097783107,0.18047280585403644
134,60,2022-07-27,2022-09-25,1.9065383709009276,0.17520897154779122
135,60,2022-08-03,2022-10-02,1.7351789908148776,0.2918289873267866
136,60,2022-08-10,2022-10-09,1.6691226170233742,0.15676075229987535
137,60,2022-08-17,2022-10-16,1.6376957919153603,0.10172794181072692
138,60,2022-08-24,2022-10-23,1.6092189435522688,0.3289965662015093
139,60,2022-08-31,2022-10-30,1.47281162861352,0.42617277746008697
140,60,2022-09-07,2022-11-06,1.2878385324158668,-0.004580232835804779
141,60,2022-09-14,2022-11-13,1.1215433986497205,-0.580377048326944
142,60,2022-09-21,2022-11-20,1.6277149852130668,0.527676706795326
143,60,2022-09-28,2022-11-27,0.716501730005374,-1.9417508691873162
144,90,2020-01-01,2020-03-31,1.6417956438962114,-0.36989124148060315
145,90,2020-01-08,2020-04-07,1.5231906888886926,-0.5973129066171511
146,90,2020-01-15,2020-04-14,1.4685710221462722,-0.5056610769284238
147,90,2020-01-22,2020-04-21,1.5199010251134777,-0.3191600446292183
148,90,2020-01-29,2020-04-28,1.5227669834756528,-0.3276549685218591
149,90,2020-02-05,2020-05-05,1.5269798076368413,-0.32068976438044544
150,90,2020-02-12,2020-05-12,1.5253316049333725,-0.2435357501223764
151,90,2020-02-19,2020-05-19,1.5639992354405896,-0.2942409437220864
152,90,2020-02-26,2020-05-26,1.6296293936351312,-0.35514250587652735
153,90,2020-03-04,2020-06-02,1.677907752559784,-0.2586127829611343
154,90,2020-03-11,2020-06-09,1.780772039949437,-0.20293874998094408
155,90,2020-03-18,2020-06-16,1.7969182075716992,-0.18150921206810178
156,90,2020-03-25,2020-06-23,1.2971291456502085,0.04258617696374645
157,90,2020-04-01,2020-06-30,1.2590324786162919,0.004805554020508746
158,90,2020-04-08,2020-07-07,1.4862486252823441,0.08479348672352714
159,90,2020-04-15,2020-07-14,1.698143585909802,-0.09505302901335258
160,90,2020-04-22,2020-07-21,1.6595595067116455,-0.2552442389464231
161,90,2020-04-29,2020-07-28,1.7572112270561295,-0.2344921814028453
162,90,2020-05-06,2020-08-04,1.723594449494799,-0.22376825451105484
163,90,2020-05-13,2020-08-11,1.8552274185952728,-0.4126745323418287
164,90,2020-05-20,2020-08-18,1.8051113697390937,-0.3472131725663497
165,90,2020-05-27,2020-08-25,1.7880934258691468,-0.45476841118080696
166,90,2020-06-03,2020-09-01,1.8600450676538334,-0.5828980402375541
167,90,2020-06-10,2020-09-08,1.8519321703921952,-0.638386195844704
168,90,2020-06-17,2020-09-15,1.741757012042589,-0.541475508041521
169,90,2020-06-24,2020-09-22,1.8313900369868703,-0.6044386890796349
170,90,2020-07-01,2020-09-29,1.7257673882255922,-0.47924621749838825
171,90,2020-07-08,2020-10-06,1.6902457546252805,-0.40058182801797315
172,90,2020-07-15,2020-10-13,1.710444728566534,-0.32676287912799107
173,90,2020-07-22,2020-10-20,1.7498490781774898,-0.33566979361690813
174,90,2020-07-29,2020-10-27,1.5823969601646384,-0.423458577547302
175,90,2020-08-05,2020-11-03,1.3737741126060579,-0.4467977200131438
176,90,2020-08-12,2020-11-10,1.2610966637866443,-0.3622162369276128
177,90,2020-08-19,2020-11-17,1.643206575045899,-0.255002604107236
178,90,2020-08-26,2020-11-24,1.7884253734202358,-0.230231069578068
179,90,2020-09-02,2020-12-01,1.6624703034878856,-0.17654173395845046
180,90,2020-09-09,2020-12-08,1.7307816065222623,-0.1057186287504133
181,90,2020-09-16,2020-12-15,1.7721439803953396,-0.12332587628611161
182,90,2020-09-23,2020-12-22,1.7900062297839376,-0.09518299598913542
183,90,2020-09-30,2020-12-29,1.8700892744883173,-0.23903155694623063
184,90,2020-10-07,2021-01-05,1.9159606728934158,-0.3258109072805083
185,90,2020-10-14,2021-01-12,1.8679771617244525,-0.30328074895267954
186,90,2020-10-21,2021-01-19,1.4882527317851673,-0.08636757971630404
187,90,2020-10-28,2021-01-26,1.4454678782330037,0.053530549949339035
188,90,2020-11-04,2021-02-02,1.3656892574744084,0.08150856361208844
189,90,2020-11-11,2021-02-09,1.2415396648912245,0.10386205544279202
190,90,2020-11-18,2021-02-16,1.018804320280584,-0.02944086981530176
191,90,2020-11-25,2021-02-23,1.065550432815796,0.022260772769599403
192,90,2020-12-02,2021-03-02,1.0484324868713795,0.013229653587302902
193,90,2020-12-09,2021-03-09,1.0893872256601194,-0.11994796480616482
194,90,2020-12-16,2021-03-16,1.12319213857049,-0.17889266798877596
195,90,2020-12-23,2021-03-23,0.9824748456711949,-0.25765843770388536
196,90,2020-12-30,2021-03-30,0.9845839514551836,-0.08002126341958973
197,90,2021-01-06,2021-04-06,0.9538443634571113,0.015458634398342396
198,90,2021-01-13,2021-04-13,1.0041523734135778,0.008618567750517007
199,90,2021-01-20,2021-04-20,1.0513326010510113,0.032481016683373845
200,90,2021-01-27,2021-04-27,0.9487249463662105,-0.09167309790736049
201,90,2021-02-03,2021-05-04,0.9681089369267525,-0.06329667494327769
202,90,2021-02-10,2021-05-11,1.0327137977818421,-0.07228052953389281
203,90,2021-02-17,2021-05-18,1.1418774717275169,0.014044606906685731
204,90,2021-02-24,2021-05-25,1.294030836235695,0.15284179672731726
205,90,2021-03-03,2021-06-01,1.3496386935741487,0.24348796271240336
206,90,2021-03-10,2021-06-08,1.0997526539890907,0.3717678624535521
207,90,2021-03-17,2021-06-15,0.8558356729061762,0.45447411260234083
208,90,2021-03-24,2021-06-22,1.3625258089883328,0.3062112051746789
209,90,2021-03-31,2021-06-29,1.3908437931362656,0.2855428699145537
210,90,2021-04-07,2021-07-06,1.5409448512092634,0.19553008454587528
211,90,2021-04-14,2021-07-13,1.6057417347158431,0.11648545670694627
212,90,2021-04-21,2021-07-20,1.6777255518179972,0.08661877193965485
213,90,2021-04-28,2021-07-27,2.0802748875669956,0.2370720726362675
214,90,2021-05-05,2021-08-03,2.093217703471646,0.23368760437544855
215,90,2021-05-12,2021-08-10,2.22978732353995,0.25551448709332664
216,90,2021-05-19,2021-08-17,2.0431880363215327,0.34607161460317953
217,90,2021-05-26,2021-08-24,1.7374879144919428,0.2181503090474327
218,90,2021-06-02,2021-08-31,1.7060453995038485,0.1931590963590981
219,90,2021-06-09,2021-09-07,1.5681995279785792,0.09586447839385848
220,90,2021-06-16,2021-09-14,1.5435791979871383,0.06678183926830572
221,90,2021-06-23,2021-09-21,1.1648544791389814,0.07290530611324156
222,90,2021-06-30,2021-09-28,1.5373898136371824,0.0005648649679525149
223,90,2021-07-07,2021-10-05,1.7112159847841397,-0.044809731135712946
224,90,2021-07-14,2021-10-12,1.5814536185285468,0.030685467217537045
225,90,2021-07-21,2021-10-19,1.5708307415132845,0.044341365084881436
226,90,2021-07-28,2021-10-26,1.3407993347114338,-0.031148621871218887
227,90,2021-08-04,2021-11-02,1.3861407654753077,-0.02422103511237323
228,90,2021-08-11,2021-11-09,1.1670232453034852,-0.06403750299357389
229,90,2021-08-18,2021-11-16,1.5403472134882,-0.1201646379997614
230,90,2021-08-25,2021-11-23,1.4193221747568212,-0.19252397893323636
231,90,2021-09-01,2021-11-30,1.3825834859506747,-0.2816591853503067
232,90,2021-09-08,2021-12-07,1.5658194891327029,-0.1604286942612941
233,90,2021-09-15,2021-12-14,1.5802328855843473,-0.14179491860317886
234,90,2021-09-22,2021-12-21,1.547050869926781,-0.1981325028185793
235,90,2021-09-29,2021-12-28,1.493428341982299,-0.14831430687840053
236,90,2021-10-06,2022-01-04,1.385824368331897,-0.1415669922349756
237,90,2021-10-13,2022-01-11,1.455340064749057,-0.013695206027798359
238,90,2021-10-20,2022-01-18,1.7459378402663113,0.17525427867817153
239,90,2021-10-27,2022-01-25,1.9410182676520882,0.2970355175355367
240,90,2021-11-03,2022-02-01,1.9513166423954624,0.34054629719806007
241,90,2021-11-10,2022-02-08,2.0339847674580867,0.3060122383125655
242,90,2021-11-17,2022-02-15,1.7880914492044166,0.24357616614688196
243,90,2021-11-24,2022-02-22,1.934307239629829,0.19685548898535166
244,90,2021-12-01,2022-03-01,2.0227276892226933,0.13021118006140664
245,90,2021-12-08,2022-03-08,2.713461203535769,-0.012498858536929053
246,90,2021-12-15,2022-03-15,2.6053118778272037,0.007342400031110707
247,90,2021-12-22,2022-03-22,2.8227660523993374,0.2789709264448112
248,90,2021-12-29,2022-03-29,2.8220338581326767,0.2727827841329741
249,90,2022-01-05,2022-04-05,2.8780687348902987,0.36225153416739503
250,90,2022-01-12,2022-04-12,2.805269735078664,0.24468914234632672
251,90,2022-01-19,2022-04-19,2.748958639024804,0.2290627921108301
252,90,2022-01-26,2022-04-26,2.7465934526484563,0.3541593295023142
253,90,2022-02-02,2022-05-03,2.5299428966623583,0.34277669715386555
254,90,2022-02-09,2022-05-10,2.5251907560185125,0.31142731982936445
255,90,2022-02-16,2022-05-17,2.977748714321773,0.7407726177656074
256,90,2022-02-23,2022-05-24,2.771247904379156,0.46119696631415674
257,90,2022-03-02,2022-05-31,1.9726509710625695,-0.132378705806113
258,90,2022-03-09,2022-06-07,1.5359727845525624,-0.17388162594696419
259,90,2022-03-16,2022-06-14,1.4004634626310437,-0.050283959514181714
260,90,2022-03-23,2022-06-21,1.3001845883701393,-0.3974085223035156
261,90,2022-03-30,2022-06-28,1.3484013002038544,-0.34336573314844804
262,90,2022-04-06,2022-07-05,1.2536774901349297,-0.46331959528207584
263,90,2022-04-13,2022-07-12,1.2994319132151684,-0.43665414567852606
264,90,2022-04-20,2022-07-19,1.2439432023774661,-0.43335322998965164
265,90,2022-04-27,2022-07-26,1.4313719437796026,-0.3272776569127614
266,90,2022-05-04,2022-08-02,1.4342776966006314,-0.36482334925367593
267,90,2022-05-11,2022-08-09,1.4612595433166218,-0.2240318910683153
268,90,2022-05-18,2022-08-16,1.4843496305098356,-0.17084465986157235
269,90,2022-05-25,2022-08-23,1.558328343683714,-0.18332527428345585
270,90,2022-06-01,2022-08-30,1.8195697411227902,0.03490506029945457
271,90,2022-06-08,2022-09-06,1.9859887314188018,0.374450313265649
272,90,2022-06-15,2022-09-13,1.9983174388576996,0.39413674200709026
273,90,2022-06-22,2022-09-20,1.8552108341939422,0.23292679690653365
274,90,2022-06-29,2022-09-27,1.8446619583893014,0.2961263144398281
